"title","year","length","budget","rating","votes","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","mpaa","Action","Animation","Comedy","Drama","Documentary","Romance","Short"
"Europe & Italy",1999,6,NA,6.6,34,4.5,0,0,0,14.5,14.5,14.5,24.5,4.5,24.5,"",0,1,1,0,0,0,1
"Ali Baba Bunny",1957,7,NA,7.9,175,4.5,4.5,0,4.5,4.5,4.5,14.5,24.5,14.5,24.5,"",0,1,1,0,0,0,1
"Curtain Call",1940,63,NA,5.9,22,0,4.5,4.5,4.5,14.5,14.5,24.5,14.5,4.5,4.5,"",0,0,1,0,0,0,0
"Tandil Forever",2003,74,NA,8.4,6,0,0,0,0,0,0,14.5,0,34.5,45.5,"",0,0,0,0,1,0,0
"Viaje por el cuerpo",2001,85,NA,4.9,6,14.5,0,0,34.5,14.5,14.5,0,0,0,14.5,"",0,0,0,1,0,0,0
"Return of the Monster",2002,9,NA,6,7,0,0,14.5,0,0,45.5,14.5,0,0,14.5,"",0,0,0,0,0,0,1
"Mongoloid",1978,4,NA,6.5,37,4.5,4.5,0,0,4.5,14.5,24.5,14.5,14.5,14.5,"",0,0,0,0,0,0,1
"Romancing the Stone",1984,105,NA,6.8,9986,4.5,4.5,4.5,4.5,4.5,14.5,34.5,24.5,4.5,4.5,"",1,0,1,0,0,1,0
"Murphy's Law",1986,100,NA,5.1,428,4.5,4.5,4.5,14.5,24.5,14.5,14.5,4.5,4.5,4.5,"",1,0,0,0,0,0,0
"King of the Lumberjacks",1940,58,NA,5,9,0,0,0,24.5,45.5,14.5,0,0,14.5,0,"",0,0,0,1,0,0,0
"Marc Mato, agente S. 077",1965,92,NA,8.8,11,4.5,0,0,0,0,4.5,0,0,0,84.5,"",1,0,0,0,0,0,0
"Ponzio Pilato",1962,93,NA,3.2,21,4.5,14.5,0,14.5,4.5,14.5,4.5,4.5,4.5,14.5,"",0,0,0,1,0,0,0
"Waterproof",1999,95,NA,6.2,103,4.5,0,4.5,4.5,14.5,4.5,14.5,14.5,14.5,24.5,"PG-13",0,0,0,1,0,0,0
"Mechanized Death",1961,28,NA,7.4,7,0,0,0,0,0,14.5,24.5,24.5,24.5,0,"",0,0,0,0,1,0,1
"Clive of India",1935,94,NA,7,45,0,0,4.5,4.5,4.5,24.5,24.5,24.5,4.5,4.5,"",1,0,0,1,0,0,0
"Daddy Cool",2002,85,150000,5.7,17,4.5,0,14.5,4.5,4.5,14.5,4.5,14.5,14.5,24.5,"",0,0,0,0,0,0,0
"Nice Coloured Girls",1987,16,NA,6,8,0,0,0,0,0,45.5,24.5,14.5,14.5,0,"",0,0,0,0,0,0,1
"Nation Builds Under Fire, A",1967,40,NA,2.1,8,45.5,0,0,0,24.5,0,0,0,0,24.5,"",0,0,0,0,1,0,1
"Nae maeumui punggeum",1998,116,NA,7.8,66,4.5,0,4.5,0,4.5,0,24.5,24.5,24.5,14.5,"",0,0,0,1,0,0,0
"Devil Monster",1946,60,NA,5.1,10,45.5,0,14.5,0,24.5,14.5,14.5,0,0,0,"",0,0,0,1,0,0,0
"Mesteren",2000,17,NA,7.3,6,0,0,0,0,45.5,0,0,0,14.5,34.5,"",0,0,0,0,0,0,1
"Roulez jeunesse!",1993,116,NA,5.1,6,0,0,0,14.5,45.5,14.5,0,0,0,14.5,"",0,0,1,0,0,0,0
"Pocetni udarac",1990,110,NA,6.6,7,14.5,0,0,14.5,14.5,0,14.5,0,14.5,24.5,"",0,0,0,1,0,0,0
"Habit",1997,112,200000,5.7,307,4.5,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,"",0,0,0,0,0,0,0
"Feather in His Hare, A",1948,7,NA,6.5,33,4.5,0,0,4.5,14.5,14.5,34.5,14.5,0,4.5,"",0,1,1,0,0,0,1
"Jubilee Trail",1954,103,NA,6,31,0,4.5,4.5,4.5,14.5,24.5,24.5,4.5,4.5,4.5,"",0,0,0,0,0,1,0
"Solo",1978,96,NA,4.9,17,0,0,4.5,4.5,44.5,4.5,0,4.5,14.5,14.5,"",0,0,0,1,0,1,0
"Brood, The",1979,90,NA,6.3,1434,4.5,4.5,4.5,4.5,4.5,14.5,24.5,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"Kenar-e roodkhaneh",2004,81,NA,6.2,7,0,14.5,0,0,0,44.5,0,24.5,14.5,0,"",0,0,0,1,0,0,0
"Beau Ideal",1931,82,NA,4.7,15,0,0,4.5,44.5,24.5,4.5,24.5,0,4.5,0,"",0,0,0,0,0,0,0
"Royal Blues",1997,52,NA,6.4,27,4.5,0,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,"",0,0,1,0,0,0,0
"Nemo",1984,97,NA,4.8,43,14.5,4.5,4.5,14.5,14.5,4.5,0,14.5,4.5,14.5,"",0,0,0,0,0,0,0
"For dagene er onde",1991,74,NA,4.5,7,0,0,0,45.5,44.5,0,0,0,0,0,"",0,0,0,1,0,0,0
"Omaha (The Movie)",1995,85,38000,5.2,92,14.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,24.5,"",0,0,1,0,0,0,0
"Goodnight, Sweet Marilyn",1989,93,NA,2.5,21,44.5,14.5,4.5,4.5,4.5,4.5,4.5,0,4.5,0,"",0,0,0,1,0,0,0
"Hollywood Party",1934,70,NA,6,96,4.5,4.5,4.5,14.5,4.5,24.5,14.5,4.5,4.5,14.5,"",0,0,1,0,0,0,0
"Bell Witch Haunting",2004,124,NA,3,16,24.5,14.5,0,0,4.5,0,0,14.5,14.5,24.5,"",0,0,0,1,0,0,0
"Captains of the Clouds",1942,113,NA,6.2,173,4.5,4.5,4.5,4.5,4.5,24.5,24.5,14.5,4.5,4.5,"",0,0,0,1,0,0,0
"Es geschah am 20. Juli",1955,75,NA,7.1,29,0,0,0,0,4.5,24.5,34.5,34.5,4.5,4.5,"",0,0,0,1,0,0,0
"History Is Made at Night",1937,97,NA,7.1,154,0,0,4.5,4.5,4.5,4.5,24.5,14.5,14.5,24.5,"",0,0,0,1,0,1,0
"Ronin",1998,121,55000000,7,21982,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,4.5,"R",1,0,0,0,0,0,0
"Year of the Mouse, The",1965,6,NA,6,19,0,4.5,4.5,14.5,14.5,14.5,14.5,24.5,4.5,4.5,"",0,1,1,0,0,0,1
"Lost and Delirious",2001,103,NA,7,2917,4.5,4.5,4.5,4.5,4.5,4.5,14.5,14.5,14.5,24.5,"R",0,0,0,1,0,1,0
"Bullitt",1968,113,5500000,7.3,6191,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",1,0,0,1,0,0,0
"Pure",2002,96,NA,6.6,234,4.5,4.5,4.5,4.5,4.5,14.5,24.5,24.5,14.5,14.5,"",0,0,0,1,0,0,0
"Rabbit Trap, The",1959,72,NA,6.1,17,0,0,0,0,14.5,24.5,14.5,4.5,4.5,24.5,"",0,0,0,1,0,0,0
"Durchbruch Lok 234",1963,85,NA,5.7,8,14.5,0,0,0,24.5,14.5,24.5,14.5,14.5,0,"",0,0,0,1,0,0,0
